Response ID,Survey date,Region,Branch,Staff member,Staff role,Interaction type,Appointment type,Channel,NPS score,NPS group,Satisfaction rating,Satisfaction score,Satisfaction group,Wait time reasonableness,Behaviour statement,Behaviour score,Behaviour agreement group,Behaviour agreement rating,Value-add outcome selected,Any value-add flag,Verbatim comment,Follow-up permission flag,Low-volume warning flag,Dataset label
VOM-SYN-0075,2026-05-16,Fraser Valley,Branch E,Staff S,Financial Services Advisor,Advice,General advice appointment,in-person,8,Passive,Satisfied,4,Satisfied,,They tailored their advice to my financial goals and situation.,3,Neutral,Neither agree nor disagree,None of the above,No,"It was a decent conversation, but it felt more general than tailored.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0076,2026-05-16,Metro North,Branch B,Staff D,Member Service Representative,Service,,,8,Passive,Neither satisfied nor dissatisfied,3,Neutral,Neither agree nor disagree,"They either addressed my request during this visit, or clearly explained the next steps.",2,Disagree,Somewhat disagree,Information or tools to help me manage my finances,Yes,"It was an average visit. Nothing went wrong, but nothing really stood out.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0077,2026-05-17,Metro South,Branch D,Staff G,Member Service Representative,Service,,,10,Promoter,Satisfied,4,Satisfied,Somewhat agree,"They either addressed my request during this visit, or clearly explained the next steps.",4,Agree,Somewhat agree,Information about how Vancity supports my community | An appointment booked for additional financial support or information,Yes,"The branch was busy, but I still felt acknowledged and looked after. I also left with something useful beyond the immediate request.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0078,2026-05-18,Metro South,Branch C,Staff E,Member Service Representative,Service,,,7,Passive,Neither satisfied nor dissatisfied,3,Neutral,Somewhat disagree,They made it easy for me to get what I needed.,2,Disagree,Somewhat disagree,None of the above,No,"It was an average visit. Nothing went wrong, but nothing really stood out. The wait time also affected the experience.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0079,2026-05-18,Island & Coastal,Branch H,Staff N,Member Service Representative,Service,,,8,Passive,Very satisfied,5,Satisfied,Strongly agree,They acknowledged me when I arrived (whether at the wicket or upon entry).,4,Agree,Somewhat agree,None of the above,No,"It was an average visit. Nothing went wrong, but nothing really stood out.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0080,2026-05-20,Metro North,Branch A,Staff A,Member Service Representative,Service,,,9,Promoter,Satisfied,4,Satisfied,Strongly agree,They made it easy for me to get what I needed.,4,Agree,Somewhat agree,A recommended product or service relevant to my needs,Yes,I appreciated the warm greeting and how easy the transaction felt.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0081,2026-05-20,Metro South,Branch C,Staff E,Member Service Representative,Service,,,6,Detractor,Neither satisfied nor dissatisfied,3,Neutral,Somewhat disagree,"They were patient, respectful, and had a positive attitude.",3,Neutral,Neither agree nor disagree,None of the above,No,"The staff member resolved part of my request, but I left unsure about the next steps. The wait time also affected the experience.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0082,2026-05-20,Fraser Valley,Branch E,Staff J,Member Service Representative,Service,,,8,Passive,Neither satisfied nor dissatisfied,3,Neutral,Somewhat disagree,They were knowledgeable and clear in this interaction.,2,Disagree,Somewhat disagree,None of the above,No,"The visit worked out, but I would have liked a clearer estimate of the wait.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0083,2026-05-22,Metro South,Branch D,Staff R,Financial Services Advisor,Advice,Account opening / onboarding,in-person,10,Promoter,Satisfied,4,Satisfied,,They tailored their advice to my financial goals and situation.,4,Agree,Somewhat agree,Information or tools to help me manage my finances | A clear plan to revisit my needs and goals in the future | A recommended product or service relevant to my needs,Yes,The advisor listened carefully and connected the conversation to my goals.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0084,2026-05-23,Island & Coastal,Branch H,Staff V,Financial Services Advisor,Advice,Investment conversation,in-person,7,Passive,Neither satisfied nor dissatisfied,3,Neutral,,They made it easy for me to get what I needed.,2,Disagree,Somewhat disagree,None of the above,No,"The appointment covered the basics, but I expected a more specific plan.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0085,2026-05-24,Metro North,Branch A,Staff O,Financial Services Advisor,Advice,Investment conversation,in-person,9,Promoter,Very satisfied,5,Satisfied,,They contacted me in advance to prepare for the appointment.,5,Agree,Strongly agree,A recommended product or service relevant to my needs,Yes,I left with a clear plan and felt the advice was tailored to my situation.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0086,2026-05-24,Metro North,Branch A,Staff O,Financial Services Advisor,Advice,General advice appointment,in-person,9,Promoter,Neither satisfied nor dissatisfied,3,Neutral,,They made me feel recognized and genuinely cared for.,3,Neutral,Neither agree nor disagree,Something else | A clear plan to revisit my needs and goals in the future,Yes,"The conversation felt personal, respectful, and useful for planning ahead.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0087,2026-05-25,Fraser Valley,Branch E,Staff I,Member Service Representative,Service,,,9,Promoter,Very satisfied,5,Satisfied,Somewhat agree,They were knowledgeable and clear in this interaction.,5,Agree,Strongly agree,Information or tools to help me manage my finances | Information about how Vancity supports my community,Yes,"The staff member was friendly, clear, and helped me complete the visit quickly.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0088,2026-05-25,Fraser Valley,Branch F,Staff K,Member Service Representative,Service,,,9,Promoter,Satisfied,4,Satisfied,Somewhat agree,They acknowledged me when I arrived (whether at the wicket or upon entry).,4,Agree,Somewhat agree,Information about how Vancity supports my community | An appointment booked for additional financial support or information | Something else,Yes,"The branch was busy, but I still felt acknowledged and looked after. I also left with something useful beyond the immediate request.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0089,2026-05-25,Metro North,Branch A,Staff A,Member Service Representative,Service,,,9,Promoter,Very satisfied,5,Satisfied,Strongly agree,They listened carefully and confirmed their understanding of my request.,4,Agree,Somewhat agree,None of the above,No,"The staff member was friendly, clear, and helped me complete the visit quickly.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0090,2026-05-26,Metro South,Branch C,Staff E,Member Service Representative,Service,,,10,Promoter,Very satisfied,5,Satisfied,Strongly agree,"They either addressed my request during this visit, or clearly explained the next steps.",5,Agree,Strongly agree,None of the above,No,"The staff member was friendly, clear, and helped me complete the visit quickly.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0091,2026-05-26,Metro North,Branch A,Staff B,Member Service Representative,Service,,,4,Detractor,Neither satisfied nor dissatisfied,3,Neutral,Somewhat agree,They listened carefully and confirmed their understanding of my request.,3,Neutral,Neither agree nor disagree,None of the above,No,"The visit felt rushed, and I would have appreciated more patience and clarity.",Yes,No,Illustrative synthetic data — not actual results
VOM-SYN-0092,2026-05-26,Metro North,Branch A,Staff B,Member Service Representative,Service,,,5,Detractor,Neither satisfied nor dissatisfied,3,Neutral,Neither agree nor disagree,They acknowledged me when I arrived (whether at the wicket or upon entry).,2,Disagree,Somewhat disagree,None of the above,No,"I had to repeat my request more than once, which made the experience frustrating.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0093,2026-05-27,Metro South,Branch C,Staff F,Member Service Representative,Service,,,9,Promoter,Very satisfied,5,Satisfied,Strongly agree,"They either addressed my request during this visit, or clearly explained the next steps.",5,Agree,Strongly agree,None of the above,No,The team member was patient and made sure my request was handled before I left.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0094,2026-05-27,Metro South,Branch C,Staff F,Member Service Representative,Service,,,9,Promoter,Very satisfied,5,Satisfied,Strongly agree,They were knowledgeable and clear in this interaction.,4,Agree,Somewhat agree,Information or tools to help me manage my finances,Yes,"The staff member was friendly, clear, and helped me complete the visit quickly. I also left with something useful beyond the immediate request.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0095,2026-05-27,Metro North,Branch B,Staff C,Member Service Representative,Service,,,5,Detractor,Neither satisfied nor dissatisfied,3,Neutral,Neither agree nor disagree,They made it easy for me to get what I needed.,3,Neutral,Neither agree nor disagree,None of the above,No,I waited longer than expected and did not feel the process was explained very well.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0096,2026-05-28,Fraser Valley,Branch E,Staff X,Financial Services Advisor,Advice,Investment conversation,in-person,10,Promoter,Very satisfied,5,Satisfied,,They were knowledgeable and clear in this interaction.,4,Agree,Somewhat agree,A recommended product or service relevant to my needs | Information or tools to help me manage my finances,Yes,I left with a clear plan and felt the advice was tailored to my situation.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0097,2026-05-29,Fraser Valley,Branch E,Staff I,Member Service Representative,Service,,,5,Detractor,Dissatisfied,2,Dissatisfied,Somewhat disagree,"They either addressed my request during this visit, or clearly explained the next steps.",1,Disagree,Strongly disagree,None of the above,No,"The visit felt rushed, and I would have appreciated more patience and clarity. The wait time also affected the experience.",Yes,No,Illustrative synthetic data — not actual results
VOM-SYN-0098,2026-05-29,Fraser Valley,Branch E,Staff I,Member Service Representative,Service,,,7,Passive,Satisfied,4,Satisfied,Somewhat agree,"They were patient, respectful, and had a positive attitude.",3,Neutral,Neither agree nor disagree,None of the above,No,"The staff member helped me, but I had to ask a few follow-up questions.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0099,2026-05-29,Metro South,Branch D,Staff H,Member Service Representative,Service,,,6,Detractor,Very dissatisfied,1,Dissatisfied,Strongly disagree,"They either addressed my request during this visit, or clearly explained the next steps.",1,Disagree,Strongly disagree,Information about how Vancity supports my community,Yes,"The staff member resolved part of my request, but I left unsure about the next steps. The wait time also affected the experience.",Yes,No,Illustrative synthetic data — not actual results
VOM-SYN-0100,2026-05-30,Island & Coastal,Branch H,Staff V,Financial Services Advisor,Advice,Borrowing / lending advice,in-person,8,Passive,Satisfied,4,Satisfied,,They listened carefully and confirmed their understanding of my needs.,3,Neutral,Neither agree nor disagree,A recommended product or service relevant to my needs,Yes,"The appointment covered the basics, but I expected a more specific plan.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0101,2026-05-30,Metro North,Branch A,Staff O,Financial Services Advisor,Advice,Account opening / onboarding,in-person,9,Promoter,Very satisfied,5,Satisfied,,They were knowledgeable and clear in this interaction.,4,Agree,Somewhat agree,None of the above,No,I left with a clear plan and felt the advice was tailored to my situation.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0102,2026-05-30,Metro North,Branch B,Staff D,Member Service Representative,Service,,,8,Passive,Satisfied,4,Satisfied,Neither agree nor disagree,They listened carefully and confirmed their understanding of my request.,3,Neutral,Neither agree nor disagree,Information or tools to help me manage my finances,Yes,"The visit worked out, but I would have liked a clearer estimate of the wait.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0103,2026-05-30,Fraser Valley,Branch F,Staff T,Financial Services Advisor,Advice,Account opening / onboarding,in-person,9,Promoter,Satisfied,4,Satisfied,,"They addressed what I came in for, or clearly explained next steps.",4,Agree,Somewhat agree,Information or tools to help me manage my finances,Yes,I left with a clear plan and felt the advice was tailored to my situation.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0104,2026-05-31,Fraser Valley,Branch F,Staff K,Member Service Representative,Service,,,9,Promoter,Satisfied,4,Satisfied,Strongly agree,They made it easy for me to get what I needed.,3,Neutral,Neither agree nor disagree,A recommended product or service relevant to my needs,Yes,"The staff member was friendly, clear, and helped me complete the visit quickly.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0105,2026-05-31,Fraser Valley,Branch F,Staff K,Member Service Representative,Service,,,9,Promoter,Satisfied,4,Satisfied,Neither agree nor disagree,They made it easy for me to get what I needed.,4,Agree,Somewhat agree,Information about how Vancity supports my community | Something else,Yes,I appreciated the warm greeting and how easy the transaction felt.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0106,2026-05-31,Fraser Valley,Branch F,Staff K,Member Service Representative,Service,,,8,Passive,Satisfied,4,Satisfied,Somewhat agree,"They either addressed my request during this visit, or clearly explained the next steps.",3,Neutral,Neither agree nor disagree,A recommended product or service relevant to my needs,Yes,"The service was fine overall, but the wait felt a little longer than expected.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0107,2026-05-31,Island & Coastal,Branch H,Staff N,Member Service Representative,Service,,,10,Promoter,Satisfied,4,Satisfied,Strongly agree,They acknowledged me when I arrived (whether at the wicket or upon entry).,4,Agree,Somewhat agree,None of the above,No,The team member was patient and made sure my request was handled before I left.,Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0108,2026-06-01,Metro North,Branch B,Staff P,Financial Services Advisor,Advice,Borrowing / lending advice,phone,7,Passive,Satisfied,4,Satisfied,,"They addressed what I came in for, or clearly explained next steps.",4,Agree,Somewhat agree,Something else,Yes,"The advisor answered my questions, though the next steps could have been clearer.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0109,2026-06-01,Island & Coastal,Branch G,Staff U,Financial Services Advisor,Advice,Financial planning review,in-person,10,Promoter,Satisfied,4,Satisfied,,They tailored their advice to my financial goals and situation.,3,Neutral,Neither agree nor disagree,A follow-up appointment booked (with this advisor or another specialist),Yes,"The conversation felt personal, respectful, and useful for planning ahead.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0110,2026-06-02,Island & Coastal,Branch G,Staff M,Member Service Representative,Service,,,7,Passive,Neither satisfied nor dissatisfied,3,Neutral,Neither agree nor disagree,They listened carefully and confirmed their understanding of my request.,2,Disagree,Somewhat disagree,None of the above,No,"The visit worked out, but I would have liked a clearer estimate of the wait.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0111,2026-06-02,Metro South,Branch C,Staff F,Member Service Representative,Service,,,7,Passive,Dissatisfied,2,Dissatisfied,Somewhat disagree,They were knowledgeable and clear in this interaction.,1,Disagree,Strongly disagree,None of the above,No,"The service was fine overall, but the wait felt a little longer than expected.",No,No,Illustrative synthetic data — not actual results
VOM-SYN-0112,2026-06-03,Metro North,Branch A,Staff O,Financial Services Advisor,Advice,Borrowing / lending advice,in-person,9,Promoter,Very satisfied,5,Satisfied,,They contacted me in advance to prepare for the appointment.,4,Agree,Somewhat agree,A clear plan to revisit my needs and goals in the future,Yes,"The advisor was prepared, knowledgeable, and made the appointment easy to follow.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0113,2026-06-03,Metro South,Branch D,Staff R,Financial Services Advisor,Advice,Investment conversation,in-person,7,Passive,Neither satisfied nor dissatisfied,3,Neutral,,They tailored their advice to my financial goals and situation.,3,Neutral,Neither agree nor disagree,Something else | A recommended product or service relevant to my needs,Yes,"It was a decent conversation, but it felt more general than tailored. I also left with something useful beyond the immediate request.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0114,2026-06-04,Metro North,Branch B,Staff C,Member Service Representative,Service,,,10,Promoter,Very satisfied,5,Satisfied,Strongly agree,They were knowledgeable and clear in this interaction.,5,Agree,Strongly agree,Something else,Yes,"The staff member was friendly, clear, and helped me complete the visit quickly.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0115,2026-06-05,Fraser Valley,Branch E,Staff X,Financial Services Advisor,Advice,Investment conversation,phone,7,Passive,Satisfied,4,Satisfied,,"They addressed what I came in for, or clearly explained next steps.",4,Agree,Somewhat agree,A recommended product or service relevant to my needs | Information or tools to help me manage my finances,Yes,"The appointment was helpful, but I would have liked more detail on the recommended options.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0116,2026-06-05,Fraser Valley,Branch E,Staff S,Financial Services Advisor,Advice,Investment conversation,in-person,10,Promoter,Satisfied,4,Satisfied,,They contacted me in advance to prepare for the appointment.,4,Agree,Somewhat agree,None of the above,No,I left with a clear plan and felt the advice was tailored to my situation.,Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0117,2026-06-07,Fraser Valley,Branch F,Staff T,Financial Services Advisor,Advice,Account opening / onboarding,phone,10,Promoter,Very satisfied,5,Satisfied,,"They addressed what I came in for, or clearly explained next steps.",4,Agree,Somewhat agree,Information or tools to help me manage my finances,Yes,"The advisor was prepared, knowledgeable, and made the appointment easy to follow.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0118,2026-06-07,Metro North,Branch B,Staff P,Financial Services Advisor,Advice,Investment conversation,video,8,Passive,Neither satisfied nor dissatisfied,3,Neutral,,They contacted me in advance to prepare for the appointment.,3,Neutral,Neither agree nor disagree,None of the above,No,"The advisor answered my questions, though the next steps could have been clearer.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0119,2026-06-08,Metro South,Branch D,Staff R,Financial Services Advisor,Advice,General advice appointment,phone,9,Promoter,Satisfied,4,Satisfied,,They made me feel recognized and genuinely cared for.,4,Agree,Somewhat agree,Information or tools to help me manage my finances,Yes,"The advisor was prepared, knowledgeable, and made the appointment easy to follow.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0120,2026-06-09,Metro South,Branch D,Staff R,Financial Services Advisor,Advice,Small business advice,in-person,9,Promoter,Very satisfied,5,Satisfied,,They were knowledgeable and clear in this interaction.,5,Agree,Strongly agree,A clear plan to revisit my needs and goals in the future | A recommended product or service relevant to my needs,Yes,I left with a clear plan and felt the advice was tailored to my situation.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0121,2026-06-09,Metro South,Branch D,Staff G,Member Service Representative,Service,,,7,Passive,Very satisfied,5,Satisfied,Strongly agree,They were knowledgeable and clear in this interaction.,5,Agree,Strongly agree,None of the above,No,"It was an average visit. Nothing went wrong, but nothing really stood out.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0122,2026-06-09,Metro South,Branch D,Staff H,Member Service Representative,Service,,,9,Promoter,Satisfied,4,Satisfied,Somewhat agree,They acknowledged me when I arrived (whether at the wicket or upon entry).,4,Agree,Somewhat agree,None of the above,No,"The branch was busy, but I still felt acknowledged and looked after.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0123,2026-06-10,Metro North,Branch B,Staff C,Member Service Representative,Service,,,9,Promoter,Very satisfied,5,Satisfied,Strongly agree,"They either addressed my request during this visit, or clearly explained the next steps.",4,Agree,Somewhat agree,A recommended product or service relevant to my needs | Something else,Yes,"The staff member was friendly, clear, and helped me complete the visit quickly. I also left with something useful beyond the immediate request.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0124,2026-06-10,Fraser Valley,Branch E,Staff J,Member Service Representative,Service,,,5,Detractor,Dissatisfied,2,Dissatisfied,Strongly disagree,They acknowledged me when I arrived (whether at the wicket or upon entry).,1,Disagree,Strongly disagree,None of the above,No,"I had to repeat my request more than once, which made the experience frustrating. The wait time also affected the experience.",No,No,Illustrative synthetic data — not actual results
VOM-SYN-0125,2026-06-10,Fraser Valley,Branch F,Staff T,Financial Services Advisor,Advice,General advice appointment,in-person,9,Promoter,Satisfied,4,Satisfied,,They made it easy for me to get what I needed.,4,Agree,Somewhat agree,A follow-up appointment booked (with this advisor or another specialist),Yes,"The advisor was prepared, knowledgeable, and made the appointment easy to follow.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0126,2026-06-11,Metro South,Branch C,Staff W,Small Business Advisor,Advice,General advice appointment,in-person,8,Passive,Neither satisfied nor dissatisfied,3,Neutral,,They listened carefully and confirmed their understanding of my needs.,2,Disagree,Somewhat disagree,None of the above,No,"The advisor answered my questions, though the next steps could have been clearer.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0127,2026-06-11,Metro North,Branch B,Staff C,Member Service Representative,Service,,,10,Promoter,Very satisfied,5,Satisfied,Strongly agree,They were knowledgeable and clear in this interaction.,4,Agree,Somewhat agree,None of the above,No,"The visit was smooth, and the staff member explained the next step clearly.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0128,2026-06-12,Metro North,Branch A,Staff O,Financial Services Advisor,Advice,Investment conversation,phone,10,Promoter,Satisfied,4,Satisfied,,They tailored their advice to my financial goals and situation.,3,Neutral,Neither agree nor disagree,A clear plan to revisit my needs and goals in the future | Information about how Vancity supports my community | Information or tools to help me manage my finances,Yes,I appreciated the clear explanations and the practical next steps.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0129,2026-06-13,Metro North,Branch A,Staff O,Financial Services Advisor,Advice,Account opening / onboarding,in-person,10,Promoter,Satisfied,4,Satisfied,,They listened carefully and confirmed their understanding of my needs.,4,Agree,Somewhat agree,None of the above,No,"The advisor was prepared, knowledgeable, and made the appointment easy to follow.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0130,2026-06-13,Metro North,Branch A,Staff B,Member Service Representative,Service,,,10,Promoter,Very satisfied,5,Satisfied,Strongly agree,"They either addressed my request during this visit, or clearly explained the next steps.",5,Agree,Strongly agree,Information about how Vancity supports my community,Yes,I appreciated the warm greeting and how easy the transaction felt.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0131,2026-06-14,Fraser Valley,Branch F,Staff T,Financial Services Advisor,Advice,Financial planning review,in-person,10,Promoter,Very satisfied,5,Satisfied,,They tailored their advice to my financial goals and situation.,5,Agree,Strongly agree,A follow-up appointment booked (with this advisor or another specialist),Yes,The advisor listened carefully and connected the conversation to my goals. I also left with something useful beyond the immediate request.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0132,2026-06-14,Metro North,Branch B,Staff D,Member Service Representative,Service,,,8,Passive,Satisfied,4,Satisfied,Somewhat agree,They were knowledgeable and clear in this interaction.,3,Neutral,Neither agree nor disagree,None of the above,No,"The service was fine overall, but the wait felt a little longer than expected.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0133,2026-06-15,Metro South,Branch C,Staff E,Member Service Representative,Service,,,9,Promoter,Very satisfied,5,Satisfied,Somewhat agree,"They were patient, respectful, and had a positive attitude.",4,Agree,Somewhat agree,None of the above,No,"The visit was smooth, and the staff member explained the next step clearly.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0134,2026-06-15,Metro North,Branch A,Staff A,Member Service Representative,Service,,,7,Passive,Satisfied,4,Satisfied,Somewhat agree,They acknowledged me when I arrived (whether at the wicket or upon entry).,3,Neutral,Neither agree nor disagree,An appointment booked for additional financial support or information | Something else,Yes,"The visit worked out, but I would have liked a clearer estimate of the wait. I also left with something useful beyond the immediate request.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0135,2026-06-16,Metro North,Branch B,Staff D,Member Service Representative,Service,,,8,Passive,Satisfied,4,Satisfied,Somewhat agree,They listened carefully and confirmed their understanding of my request.,4,Agree,Somewhat agree,None of the above,No,"The visit worked out, but I would have liked a clearer estimate of the wait.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0136,2026-06-16,Metro North,Branch A,Staff A,Member Service Representative,Service,,,8,Passive,Neither satisfied nor dissatisfied,3,Neutral,Strongly agree,"They either addressed my request during this visit, or clearly explained the next steps.",2,Disagree,Somewhat disagree,None of the above,No,"It was an average visit. Nothing went wrong, but nothing really stood out.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0137,2026-06-16,Metro South,Branch C,Staff F,Member Service Representative,Service,,,8,Passive,Satisfied,4,Satisfied,Strongly agree,They acknowledged me when I arrived (whether at the wicket or upon entry).,4,Agree,Somewhat agree,None of the above,No,"My request was completed, though the explanation could have been a bit clearer.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0138,2026-06-16,Fraser Valley,Branch F,Staff T,Financial Services Advisor,Advice,Investment conversation,in-person,10,Promoter,Satisfied,4,Satisfied,,They contacted me in advance to prepare for the appointment.,4,Agree,Somewhat agree,A follow-up appointment booked (with this advisor or another specialist) | A clear plan to revisit my needs and goals in the future | Information about how Vancity supports my community,Yes,"The conversation felt personal, respectful, and useful for planning ahead.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0139,2026-06-17,Island & Coastal,Branch G,Staff M,Member Service Representative,Service,,,7,Passive,Neither satisfied nor dissatisfied,3,Neutral,Somewhat disagree,They made it easy for me to get what I needed.,2,Disagree,Somewhat disagree,None of the above,No,"It was an average visit. Nothing went wrong, but nothing really stood out. The wait time also affected the experience.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0140,2026-06-17,Fraser Valley,Branch F,Staff K,Member Service Representative,Service,,,9,Promoter,Very satisfied,5,Satisfied,Strongly agree,They made it easy for me to get what I needed.,4,Agree,Somewhat agree,Information or tools to help me manage my finances,Yes,"The branch was busy, but I still felt acknowledged and looked after.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0141,2026-06-17,Metro South,Branch C,Staff F,Member Service Representative,Service,,,6,Detractor,Dissatisfied,2,Dissatisfied,Somewhat disagree,They were knowledgeable and clear in this interaction.,1,Disagree,Strongly disagree,None of the above,No,"The staff member resolved part of my request, but I left unsure about the next steps. The wait time also affected the experience.",No,No,Illustrative synthetic data — not actual results
VOM-SYN-0142,2026-06-18,Metro South,Branch C,Staff F,Member Service Representative,Service,,,9,Promoter,Very satisfied,5,Satisfied,Somewhat agree,They listened carefully and confirmed their understanding of my request.,4,Agree,Somewhat agree,A recommended product or service relevant to my needs | Something else,Yes,"The branch was busy, but I still felt acknowledged and looked after.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0143,2026-06-18,Metro South,Branch D,Staff H,Member Service Representative,Service,,,9,Promoter,Very satisfied,5,Satisfied,Strongly agree,They were knowledgeable and clear in this interaction.,4,Agree,Somewhat agree,Information or tools to help me manage my finances,Yes,The team member was patient and made sure my request was handled before I left.,Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0144,2026-06-18,Metro South,Branch D,Staff R,Financial Services Advisor,Advice,Financial planning review,in-person,10,Promoter,Very satisfied,5,Satisfied,,They made it easy for me to get what I needed.,4,Agree,Somewhat agree,Information or tools to help me manage my finances | A follow-up appointment booked (with this advisor or another specialist),Yes,"The conversation felt personal, respectful, and useful for planning ahead.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0145,2026-06-19,Fraser Valley,Branch F,Staff T,Financial Services Advisor,Advice,Borrowing / lending advice,phone,8,Passive,Neither satisfied nor dissatisfied,3,Neutral,,They were knowledgeable and clear in this interaction.,2,Disagree,Somewhat disagree,None of the above,No,"I got useful information, but I am still comparing what to do next.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0146,2026-06-19,Fraser Valley,Branch E,Staff J,Member Service Representative,Service,,,8,Passive,Satisfied,4,Satisfied,Strongly agree,They made it easy for me to get what I needed.,3,Neutral,Neither agree nor disagree,None of the above,No,"It was an average visit. Nothing went wrong, but nothing really stood out.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0147,2026-06-20,Fraser Valley,Branch E,Staff J,Member Service Representative,Service,,,6,Detractor,Satisfied,4,Satisfied,Strongly agree,They listened carefully and confirmed their understanding of my request.,3,Neutral,Neither agree nor disagree,None of the above,No,"The staff member resolved part of my request, but I left unsure about the next steps.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0148,2026-06-20,Metro North,Branch A,Staff B,Member Service Representative,Service,,,7,Passive,Satisfied,4,Satisfied,Strongly agree,They acknowledged me when I arrived (whether at the wicket or upon entry).,2,Disagree,Somewhat disagree,None of the above,No,"My request was completed, though the explanation could have been a bit clearer.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0149,2026-06-20,Metro North,Branch B,Staff D,Member Service Representative,Service,,,7,Passive,Satisfied,4,Satisfied,Neither agree nor disagree,They listened carefully and confirmed their understanding of my request.,3,Neutral,Neither agree nor disagree,None of the above,No,"My request was completed, though the explanation could have been a bit clearer.",Not applicable,No,Illustrative synthetic data — not actual results
